"","GTR","Name","Gene","...4","...5"
"35","GTR000593088.3","Mayo","CARS2 (13q34)","Epilepsy","Germline"
"36","GTR000593088.3","Mayo","CASK (Xp11.4)","Epilepsy","Germline"
"37","GTR000593088.3","Mayo","CCM2 (7p13)","Epilepsy","Germline"
"38","GTR000593088.3","Mayo","CDKL5 (Xp22.13)","Epilepsy","Germline"
"39","GTR000593088.3","Mayo","CHD2 (15q26.1)","Epilepsy","Germline"
"40","GTR000593088.3","Mayo","CHRNA2 (8p21.2)","Epilepsy","Germline"
"41","GTR000593088.3","Mayo","CHRNA4 (20q13.33)","Epilepsy","Germline"
"42","GTR000593088.3","Mayo","CHRNB2 (1q21.3)","Epilepsy","Germline"
"43","GTR000593088.3","Mayo","CLCN4 (Xp22.2)","Epilepsy","Germline"
"44","GTR000593088.3","Mayo","CLN3 (16p12.1)","Epilepsy","Germline"
"45","GTR000593088.3","Mayo","CLN5 (13q22.3)","Epilepsy","Germline"
"46","GTR000593088.3","Mayo","CLN6 (15q23)","Epilepsy","Germline"
"47","GTR000593088.3","Mayo","CLN8 (8p23.3)","Epilepsy","Germline"
"48","GTR000593088.3","Mayo","CNTNAP2 (7q35-36.1)","Epilepsy","Germline"
"49","GTR000593088.3","Mayo","COA8 (14q32.33)","Epilepsy","Germline"
"50","GTR000593088.3","Mayo","COG7 (16p12.2)","Epilepsy","Germline"
"51","GTR000593088.3","Mayo","COG8 (16q22.1)","Epilepsy","Germline"
"52","GTR000593088.3","Mayo","COL18A1 (21q22.3)","Epilepsy","Germline"
"53","GTR000593088.3","Mayo","COL4A1 (13q34)","Epilepsy","Germline"
"54","GTR000593088.3","Mayo","COQ2 (4q21.23)","Epilepsy","Germline"
"55","GTR000593088.3","Mayo","COQ4 (9q34.11)","Epilepsy","Germline"
"56","GTR000593088.3","Mayo","COQ6 (14q24.3)","Epilepsy","Germline"
"57","GTR000593088.3","Mayo","COQ8A (1q42.13)","Epilepsy","Germline"
"58","GTR000593088.3","Mayo","COQ9 (16q21)","Epilepsy","Germline"
"59","GTR000593088.3","Mayo","COX10 (17p12)","Epilepsy","Germline"
"60","GTR000593088.3","Mayo","COX15 (10q24.2)","Epilepsy","Germline"
"61","GTR000593088.3","Mayo","CPT2 (1p32.3)","Epilepsy","Germline"
"62","GTR000593088.3","Mayo","CSF1R (5q32)","Epilepsy","Germline"
"63","GTR000593088.3","Mayo","CSTB (21q22.3)","Epilepsy","Germline"
"64","GTR000593088.3","Mayo","CTSD (11p15.5)","Epilepsy","Germline"
"65","GTR000593088.3","Mayo","CTSF (11q13.2)","Epilepsy","Germline"
"66","GTR000593088.3","Mayo","CUL4B (Xq24)","Epilepsy","Germline"
"67","GTR000593088.3","Mayo","D2HGDH (2q37.3)","Epilepsy","Germline"
"68","GTR000593088.3","Mayo","DCX (Xq23)","Epilepsy","Germline"
"69","GTR000593088.3","Mayo","DDC (7p12.2-12.1)","Epilepsy","Germline"
"70","GTR000593088.3","Mayo","DDX3X (Xp11.4)","Epilepsy","Germline"
"71","GTR000593088.3","Mayo","DEPDC5 (22q12.2-12.3)","Epilepsy","Germline"
"72","GTR000593088.3","Mayo","DHFR2 (3q11.2)","Epilepsy","Germline"
"73","GTR000593088.3","Mayo","DIAPH1 (5q31.3)","Epilepsy","Germline"
"74","GTR000593088.3","Mayo","DLD (7q31.1)","Epilepsy","Germline"
"75","GTR000593088.3","Mayo","DMXL2 (15q21.2)","Epilepsy","Germline"
"76","GTR000593088.3","Mayo","DNAJC5 (20q13.33)","Epilepsy","Germline"
"77","GTR000593088.3","Mayo","DNM1 (9q34.11)","Epilepsy","Germline"
"78","GTR000593088.3","Mayo","DNM1L (12p11.21)","Epilepsy","Germline"
"79","GTR000593088.3","Mayo","DOCK7 (1p31.3)","Epilepsy","Germline"
"80","GTR000593088.3","Mayo","DYRK1A (21q22.13)","Epilepsy","Germline"
"81","GTR000593088.3","Mayo","EARS2 (16p12.2)","Epilepsy","Germline"
"82","GTR000593088.3","Mayo","EEF1A2 (20q13.33)","Epilepsy","Germline"
"83","GTR000593088.3","Mayo","EHMT1 (9q34.3)","Epilepsy","Germline"
"84","GTR000593088.3","Mayo","EIF2AK2 (2p22.2)","Epilepsy","Germline"
"85","GTR000593088.3","Mayo","EPM2A (6q24.3)","Epilepsy","Germline"
"86","GTR000593088.3","Mayo","ETHE1 (19q13.31)","Epilepsy","Germline"
"87","GTR000593088.3","Mayo","FARS2 (6p25.1)","Epilepsy","Germline"
"88","GTR000593088.3","Mayo","FASTKD2 (2q33.3)","Epilepsy","Germline"
"89","GTR000593088.3","Mayo","FBP1 (9q22.32)","Epilepsy","Germline"
"90","GTR000593088.3","Mayo","FBXL4 (6q16.1-16.2)","Epilepsy","Germline"
"91","GTR000593088.3","Mayo","FH (1q43)","Epilepsy","Germline"
"92","GTR000593088.3","Mayo","FKRP (19q13.32)","Epilepsy","Germline"
"93","GTR000593088.3","Mayo","FKTN (9q31.2)","Epilepsy","Germline"
"94","GTR000593088.3","Mayo","FLNA (Xq28)","Epilepsy","Germline"
"95","GTR000593088.3","Mayo","FOLR1 (11q13.4)","Epilepsy","Germline"
"96","GTR000593088.3","Mayo","FOXG1 (14q12)","Epilepsy","Germline"
"97","GTR000593088.3","Mayo","FOXRED1 (11q24.2)","Epilepsy","Germline"
"98","GTR000593088.3","Mayo","FRRS1L (9q31.3)","Epilepsy","Germline"
"99","GTR000593088.3","Mayo","GABBR2 (9q22.33)","Epilepsy","Germline"
"100","GTR000593088.3","Mayo","GABRA1 (5q34)","Epilepsy","Germline"
"101","GTR000593088.3","Mayo","GABRB2 (5q34)","Epilepsy","Germline"
"102","GTR000593088.3","Mayo","GABRB3 (15q12)","Epilepsy","Germline"
"103","GTR000593088.3","Mayo","GABRG2 (5q34)","Epilepsy","Germline"
"104","GTR000593088.3","Mayo","GAMT (19p13.3)","Epilepsy","Germline"
"105","GTR000593088.3","Mayo","GATM (15q21.1)","Epilepsy","Germline"
"106","GTR000593088.3","Mayo","GCK (7p13)","Epilepsy","Germline"
"107","GTR000593088.3","Mayo","GFM1 (3q25.32)","Epilepsy","Germline"
"108","GTR000593088.3","Mayo","GLDC (9p24.1)","Epilepsy","Germline"
"109","GTR000593088.3","Mayo","GLRA1 (5q33.1)","Epilepsy","Germline"
"110","GTR000593088.3","Mayo","GLUL (1q25.3)","Epilepsy","Germline"
"111","GTR000593088.3","Mayo","GNAO1 (16q13)","Epilepsy","Germline"
"112","GTR000593088.3","Mayo","GOSR2 (17q21.32)","Epilepsy","Germline"
"113","GTR000593088.3","Mayo","GPAA1 (8q24.3)","Epilepsy","Germline"
"114","GTR000593088.3","Mayo","GPC3 (Xq26.2)","Epilepsy","Germline"
"115","GTR000593088.3","Mayo","GPHN (14q23.3-24.1)","Epilepsy","Germline"
"116","GTR000593088.3","Mayo","GRIA3 (Xq25)","Epilepsy","Germline"
"117","GTR000593088.3","Mayo","GRIN1 (9q34.3)","Epilepsy","Germline"
"118","GTR000593088.3","Mayo","GRIN2A (16p13.2)","Epilepsy","Germline"
"119","GTR000593088.3","Mayo","GRIN2B (12p13.1)","Epilepsy","Germline"
"120","GTR000593088.3","Mayo","GYS2 (12p12.1)","Epilepsy","Germline"
"121","GTR000593088.3","Mayo","HCFC1 (Xq28)","Epilepsy","Germline"
"122","GTR000593088.3","Mayo","HCN1 (5p12)","Epilepsy","Germline"
"123","GTR000593088.3","Mayo","HIBCH (2q32.2)","Epilepsy","Germline"
"124","GTR000593088.3","Mayo","HNRNPU (1q44)","Epilepsy","Germline"
"125","GTR000593088.3","Mayo","HSD17B10 (Xp11.22)","Epilepsy","Germline"
"126","GTR000593088.3","Mayo","IARS2 (1q41)","Epilepsy","Germline"
"127","GTR000593088.3","Mayo","IBA57 (1q42.13)","Epilepsy","Germline"
"128","GTR000593088.3","Mayo","IDH2 (15q26.1)","Epilepsy","Germline"
"129","GTR000593088.3","Mayo","IER3IP1 (18q21.1)","Epilepsy","Germline"
"130","GTR000593088.3","Mayo","IQSEC2 (Xp11.22)","Epilepsy","Germline"
"131","GTR000593088.3","Mayo","ITPA (20p13)","Epilepsy","Germline"
"132","GTR000593088.3","Mayo","KANSL1 (17q21.31)","Epilepsy","Germline"
"133","GTR000593088.3","Mayo","KCNA1 (12p13.32)","Epilepsy","Germline"
"134","GTR000593088.3","Mayo","KCNA2 (1p13.3)","Epilepsy","Germline"
"135","GTR000593088.3","Mayo","KCNB1 (20q13.13)","Epilepsy","Germline"
"136","GTR000593088.3","Mayo","KCNC1 (11p15.1)","Epilepsy","Germline"
"137","GTR000593088.3","Mayo","KCNH1 (1q32.2)","Epilepsy","Germline"
"138","GTR000593088.3","Mayo","KCNJ10 (1q23.2)","Epilepsy","Germline"
"139","GTR000593088.3","Mayo","KCNMA1 (10q22.3)","Epilepsy","Germline"
"140","GTR000593088.3","Mayo","KCNQ2 (20q13.33)","Epilepsy","Germline"
"141","GTR000593088.3","Mayo","KCNQ3 (8q24.22)","Epilepsy","Germline"
"142","GTR000593088.3","Mayo","KCNT1 (9q34.3)","Epilepsy","Germline"
"143","GTR000593088.3","Mayo","KCTD7 (7q11.21)","Epilepsy","Germline"
"144","GTR000593088.3","Mayo","KDM5C (Xp11.22)","Epilepsy","Germline"
"145","GTR000593088.3","Mayo","KDM6A (Xp11.3)","Epilepsy","Germline"
"146","GTR000593088.3","Mayo","KRIT1 (7q21.2)","Epilepsy","Germline"
"147","GTR000593088.3","Mayo","L2HGDH (14q21.3)","Epilepsy","Germline"
"148","GTR000593088.3","Mayo","LAMA2 (6q22.33)","Epilepsy","Germline"
"149","GTR000593088.3","Mayo","LARGE1 (22q12.3)","Epilepsy","Germline"
"150","GTR000593088.3","Mayo","LGI1 (10q23.33)","Epilepsy","Germline"
"151","GTR000593088.3","Mayo","LIAS (4p14)","Epilepsy","Germline"
"152","GTR000593088.3","Mayo","LRPPRC (2p21)","Epilepsy","Germline"
"153","GTR000593088.3","Mayo","MBD5 (2q23.1)","Epilepsy","Germline"
"154","GTR000593088.3","Mayo","MECP2 (Xq28)","Epilepsy","Germline"
"155","GTR000593088.3","Mayo","MEF2C (5q14.3)","Epilepsy","Germline"
"156","GTR000593088.3","Mayo","MFSD8 (4q28.2)","Epilepsy","Germline"
"157","GTR000593088.3","Mayo","MICU1 (10q22.1)","Epilepsy","Germline"
"158","GTR000593088.3","Mayo","MOCS1 (6p21.2)","Epilepsy","Germline"
"159","GTR000593088.3","Mayo","MOCS2 (5q11.2)","Epilepsy","Germline"
"160","GTR000593088.3","Mayo","MTFMT (15q22.31)","Epilepsy","Germline"
"161","GTR000593088.3","Mayo","MTO1 (6q13)","Epilepsy","Germline"
"162","GTR000593088.3","Mayo","MTOR (1p36.22)","Epilepsy","Germline"
"163","GTR000593088.3","Mayo","NALCN (13q32.3-33.1)","Epilepsy","Germline"
"164","GTR000593088.3","Mayo","NDUFA1 (Xq24)","Epilepsy","Germline"
"165","GTR000593088.3","Mayo","NDUFA2 (5q31.3)","Epilepsy","Germline"
"166","GTR000593088.3","Mayo","NDUFAF2 (5q12.1)","Epilepsy","Germline"
"167","GTR000593088.3","Mayo","NDUFAF3 (3p21.31)","Epilepsy","Germline"
"168","GTR000593088.3","Mayo","NDUFAF5 (20p12.1)","Epilepsy","Germline"
"169","GTR000593088.3","Mayo","NDUFAF6 (8q22.1)","Epilepsy","Germline"
"170","GTR000593088.3","Mayo","NDUFS1 (2q33.3)","Epilepsy","Germline"
"171","GTR000593088.3","Mayo","NDUFS4 (5q11.2)","Epilepsy","Germline"
"172","GTR000593088.3","Mayo","NDUFS6 (5p15.33)","Epilepsy","Germline"
"173","GTR000593088.3","Mayo","NDUFS7 (19p13.3)","Epilepsy","Germline"
"174","GTR000593088.3","Mayo","NDUFS8 (11q13.2)","Epilepsy","Germline"
"175","GTR000593088.3","Mayo","NDUFV1 (11q13.2)","Epilepsy","Germline"
"176","GTR000593088.3","Mayo","NECAP1 (12p13.31)","Epilepsy","Germline"
"177","GTR000593088.3","Mayo","NEDD4L (18q21.31)","Epilepsy","Germline"
"178","GTR000593088.3","Mayo","NEU1 (6p21.33)","Epilepsy","Germline"
"179","GTR000593088.3","Mayo","NEXMIF (Xq13.3)","Epilepsy","Germline"
"180","GTR000593088.3","Mayo","NGLY1 (3p24.2)","Epilepsy","Germline"
"181","GTR000593088.3","Mayo","NHLRC1 (6p22.3)","Epilepsy","Germline"
"182","GTR000593088.3","Mayo","NOTCH3 (19p13.12)","Epilepsy","Germline"
"183","GTR000593088.3","Mayo","NPRL2 (3p21.31)","Epilepsy","Germline"
"184","GTR000593088.3","Mayo","NPRL3 (16p13.3)","Epilepsy","Germline"
"185","GTR000593088.3","Mayo","NR2F1 (5q15)","Epilepsy","Germline"
"186","GTR000593088.3","Mayo","NR4A2 (2q24.1)","Epilepsy","Germline"
"187","GTR000593088.3","Mayo","NRROS (3q29)","Epilepsy","Germline"
"188","GTR000593088.3","Mayo","NRXN1 (2p16.3)","Epilepsy","Germline"
"189","GTR000593088.3","Mayo","OCLN (5q13.2)","Epilepsy","Germline"
"190","GTR000593088.3","Mayo","OFD1 (Xp22.2)","Epilepsy","Germline"
"191","GTR000593088.3","Mayo","OPHN1 (Xq12)","Epilepsy","Germline"
"192","GTR000593088.3","Mayo","OTUD6B (8q21.3)","Epilepsy","Germline"
"193","GTR000593088.3","Mayo","P4HTM (3p21.31)","Epilepsy","Germline"
"194","GTR000593088.3","Mayo","PACS1 (11q13.1-13.2)","Epilepsy","Germline"
"195","GTR000593088.3","Mayo","PACS2 (14q32.33)","Epilepsy","Germline"
"196","GTR000593088.3","Mayo","PAFAH1B1 (17p13.3)","Epilepsy","Germline"
"197","GTR000593088.3","Mayo","PAK3 (Xq23)","Epilepsy","Germline"
"198","GTR000593088.3","Mayo","PCDH12 (5q31.3)","Epilepsy","Germline"
"199","GTR000593088.3","Mayo","PCDH19 (Xq22.1)","Epilepsy","Germline"
"200","GTR000593088.3","Mayo","PDCD10 (3q26.1)","Epilepsy","Germline"
"201","GTR000593088.3","Mayo","PDHA1 (Xp22.12)","Epilepsy","Germline"
"202","GTR000593088.3","Mayo","PDHB (3p14.3)","Epilepsy","Germline"
"203","GTR000593088.3","Mayo","PDHX (11p13)","Epilepsy","Germline"
"204","GTR000593088.3","Mayo","PDP1 (8q22.1)","Epilepsy","Germline"
"205","GTR000593088.3","Mayo","PDSS2 (6q21)","Epilepsy","Germline"
"206","GTR000593088.3","Mayo","PEX7 (6q23.3)","Epilepsy","Germline"
"207","GTR000593088.3","Mayo","PHF6 (Xq26.2)","Epilepsy","Germline"
"208","GTR000593088.3","Mayo","PHGDH (1p12)","Epilepsy","Germline"
"209","GTR000593088.3","Mayo","PIGA (Xp22.2)","Epilepsy","Germline"
"210","GTR000593088.3","Mayo","PIGG (4p16.3)","Epilepsy","Germline"
"211","GTR000593088.3","Mayo","PIGK (1p31.1)","Epilepsy","Germline"
"212","GTR000593088.3","Mayo","PIGL (17p11.2)","Epilepsy","Germline"
"213","GTR000593088.3","Mayo","PIGM (1q23.2)","Epilepsy","Germline"
"214","GTR000593088.3","Mayo","PIGN (18q21.33)","Epilepsy","Germline"
"215","GTR000593088.3","Mayo","PIGO (9p13.3)","Epilepsy","Germline"
"216","GTR000593088.3","Mayo","PIGQ (16p13.3)","Epilepsy","Germline"
"217","GTR000593088.3","Mayo","PIGS (17q11.2)","Epilepsy","Germline"
"218","GTR000593088.3","Mayo","PIGT (20q13.12)","Epilepsy","Germline"
"219","GTR000593088.3","Mayo","PIGU (20q11.22)","Epilepsy","Germline"
"220","GTR000593088.3","Mayo","PIGV (1p36.11)","Epilepsy","Germline"
"221","GTR000593088.3","Mayo","PIGW (17q12)","Epilepsy","Germline"
"222","GTR000593088.3","Mayo","PLCB1 (20p12.3)","Epilepsy","Germline"
"223","GTR000593088.3","Mayo","PLP1 (Xq22.2)","Epilepsy","Germline"
"224","GTR000593088.3","Mayo","PLPBP (8p11.23)","Epilepsy","Germline"
"225","GTR000593088.3","Mayo","PNKP (19q13.33)","Epilepsy","Germline"
"226","GTR000593088.3","Mayo","PNPLA8 (7q31.1)","Epilepsy","Germline"
"227","GTR000593088.3","Mayo","PNPO (17q21.32)","Epilepsy","Germline"
"228","GTR000593088.3","Mayo","POLG (15q26.1)","Epilepsy","Germline"
"229","GTR000593088.3","Mayo","POMGNT1 (1p34.1)","Epilepsy","Germline"
"230","GTR000593088.3","Mayo","POMT1 (9q34.13)","Epilepsy","Germline"
"231","GTR000593088.3","Mayo","POMT2 (14q24.3)","Epilepsy","Germline"
"232","GTR000593088.3","Mayo","PPP2R5D (6p21.1)","Epilepsy","Germline"
"233","GTR000593088.3","Mayo","PPT1 (1p34.2)","Epilepsy","Germline"
"234","GTR000593088.3","Mayo","PRRT2 (16p11.2)","Epilepsy","Germline"
"235","GTR000593088.3","Mayo","PURA (5q31.3)","Epilepsy","Germline"
"236","GTR000593088.3","Mayo","QARS1 (3p21.31)","Epilepsy","Germline"
"237","GTR000593088.3","Mayo","RAB39B (Xq28)","Epilepsy","Germline"
"238","GTR000593088.3","Mayo","RAB3GAP1 (2q21.3)","Epilepsy","Germline"
"239","GTR000593088.3","Mayo","RALA (7p14.1)","Epilepsy","Germline"
"240","GTR000593088.3","Mayo","RALGAPA1 (14q13.2)","Epilepsy","Germline"
"241","GTR000593088.3","Mayo","RANBP2 (2q13)","Epilepsy","Germline"
"242","GTR000593088.3","Mayo","RARS2 (6q15)","Epilepsy","Germline"
"243","GTR000593088.3","Mayo","RELN (7q22.1)","Epilepsy","Germline"
"244","GTR000593088.3","Mayo","RMND1 (6q25.1)","Epilepsy","Germline"
"245","GTR000593088.3","Mayo","ROGDI (16p13.3)","Epilepsy","Germline"
"246","GTR000593088.3","Mayo","RRM2B (8q22.3)","Epilepsy","Germline"
"247","GTR000593088.3","Mayo","SATB2 (2q33.1)","Epilepsy","Germline"
"248","GTR000593088.3","Mayo","SCARB2 (4q21.1)","Epilepsy","Germline"
"249","GTR000593088.3","Mayo","SCN1A (2q24.3)","Epilepsy","Germline"
"250","GTR000593088.3","Mayo","SCN1B (19q13.11)","Epilepsy","Germline"
"251","GTR000593088.3","Mayo","SCN2A (2q24.3)","Epilepsy","Germline"
"252","GTR000593088.3","Mayo","SCN3A (2q24.3)","Epilepsy","Germline"
"253","GTR000593088.3","Mayo","SCN8A (12q13.13)","Epilepsy","Germline"
"254","GTR000593088.3","Mayo","SCO2 (22q13.33)","Epilepsy","Germline"
"255","GTR000593088.3","Mayo","SDHAF1 (19q13.12)","Epilepsy","Germline"
"256","GTR000593088.3","Mayo","SERAC1 (6q25.3)","Epilepsy","Germline"
"257","GTR000593088.3","Mayo","SERPINI1 (3q26.1)","Epilepsy","Germline"
"258","GTR000593088.3","Mayo","SETBP1 (18q12.3)","Epilepsy","Germline"
"259","GTR000593088.3","Mayo","SETD2 (3p21.31)","Epilepsy","Germline"
"260","GTR000593088.3","Mayo","SIK1 (21q22.3)","Epilepsy","Germline"
"261","GTR000593088.3","Mayo","SLC12A5 (20q13.12)","Epilepsy","Germline"
"262","GTR000593088.3","Mayo","SLC13A5 (17p13.1)","Epilepsy","Germline"
"263","GTR000593088.3","Mayo","SLC16A1 (1p13.2)","Epilepsy","Germline"
"264","GTR000593088.3","Mayo","SLC19A3 (2q36.3)","Epilepsy","Germline"
"265","GTR000593088.3","Mayo","SLC25A1 (22q11.21)","Epilepsy","Germline"
"266","GTR000593088.3","Mayo","SLC25A12 (2q31.1)","Epilepsy","Germline"
"267","GTR000593088.3","Mayo","SLC25A22 (11p15.5)","Epilepsy","Germline"
"268","GTR000593088.3","Mayo","SLC2A1 (1p34.2)","Epilepsy","Germline"
"269","GTR000593088.3","Mayo","SLC35A2 (Xp11.23)","Epilepsy","Germline"
"270","GTR000593088.3","Mayo","SLC35A3 (1p21.2)","Epilepsy","Germline"
"271","GTR000593088.3","Mayo","SLC6A1 (3p25.3)","Epilepsy","Germline"
"272","GTR000593088.3","Mayo","SLC6A8 (Xq28)","Epilepsy","Germline"
"273","GTR000593088.3","Mayo","SLC9A6 (Xq26.3)","Epilepsy","Germline"
"274","GTR000593088.3","Mayo","SMARCA2 (9p24.3)","Epilepsy","Germline"
"275","GTR000593088.3","Mayo","SMC1A (Xp11.22)","Epilepsy","Germline"
"276","GTR000593088.3","Mayo","SMS (Xp22.11)","Epilepsy","Germline"
"277","GTR000593088.3","Mayo","SNAP25 (20p12.2)","Epilepsy","Germline"
"278","GTR000593088.3","Mayo","SNAP29 (22q11.21)","Epilepsy","Germline"
"279","GTR000593088.3","Mayo","SNX27 (1q21.3)","Epilepsy","Germline"
"280","GTR000593088.3","Mayo","SPR (2p13.2)","Epilepsy","Germline"
"281","GTR000593088.3","Mayo","SPTAN1 (9q34.11)","Epilepsy","Germline"
"282","GTR000593088.3","Mayo","ST3GAL3 (1p34.1)","Epilepsy","Germline"
"283","GTR000593088.3","Mayo","ST3GAL5 (2p11.2)","Epilepsy","Germline"
"284","GTR000593088.3","Mayo","STRADA (17q23.3)","Epilepsy","Germline"
"285","GTR000593088.3","Mayo","STX1B (16p11.2)","Epilepsy","Germline"
"286","GTR000593088.3","Mayo","STXBP1 (9q34.11)","Epilepsy","Germline"
"287","GTR000593088.3","Mayo","SUCLA2 (13q14.2)","Epilepsy","Germline"
"288","GTR000593088.3","Mayo","SUOX (12q13.2)","Epilepsy","Germline"
"289","GTR000593088.3","Mayo","SYN1 (Xp11.3-11.23)","Epilepsy","Germline"
"290","GTR000593088.3","Mayo","SYNGAP1 (6p21.32)","Epilepsy","Germline"
"291","GTR000593088.3","Mayo","SYNJ1 (21q22.11)","Epilepsy","Germline"
"292","GTR000593088.3","Mayo","SYP (Xp11.23)","Epilepsy","Germline"
"293","GTR000593088.3","Mayo","SZT2 (1p34.2)","Epilepsy","Germline"
"294","GTR000593088.3","Mayo","TBC1D24 (16p13.3)","Epilepsy","Germline"
"295","GTR000593088.3","Mayo","TBL1XR1 (3q26.32)","Epilepsy","Germline"
"296","GTR000593088.3","Mayo","TCF4 (18q21.2)","Epilepsy","Germline"
"297","GTR000593088.3","Mayo","TPK1 (7q35)","Epilepsy","Germline"
"298","GTR000593088.3","Mayo","TPP1 (11p15.4)","Epilepsy","Germline"
"299","GTR000593088.3","Mayo","TSC1 (9q34.13)","Epilepsy","Germline"
"300","GTR000593088.3","Mayo","TSC2 (16p13.3)","Epilepsy","Germline"
"301","GTR000593088.3","Mayo","TSFM (12q14.1)","Epilepsy","Germline"
"302","GTR000593088.3","Mayo","TUBA1A (12q13.12)","Epilepsy","Germline"
"303","GTR000593088.3","Mayo","TUBA8 (22q11.21)","Epilepsy","Germline"
"304","GTR000593088.3","Mayo","TUBB2B (6p25.2)","Epilepsy","Germline"
"305","GTR000593088.3","Mayo","TWNK (10q24.31)","Epilepsy","Germline"
"306","GTR000593088.3","Mayo","UBE3A (15q11.2)","Epilepsy","Germline"
"307","GTR000593088.3","Mayo","UGP2 (2p15)","Epilepsy","Germline"
"308","GTR000593088.3","Mayo","USP7 (16p13.2)","Epilepsy","Germline"
"309","GTR000593088.3","Mayo","VARS1 (6p21.33)","Epilepsy","Germline"
"310","GTR000593088.3","Mayo","VLDLR (9p24.2)","Epilepsy","Germline"
"311","GTR000593088.3","Mayo","WDR26 (1q42.11-42.12)","Epilepsy","Germline"
"312","GTR000593088.3","Mayo","WDR37 (10p15.3)","Epilepsy","Germline"
"313","GTR000593088.3","Mayo","WDR45 (Xp11.23)","Epilepsy","Germline"
"314","GTR000593088.3","Mayo","WDR62 (19q13.12)","Epilepsy","Germline"
"315","GTR000593088.3","Mayo","WWOX (16q23.1-23.2)","Epilepsy","Germline"
"316","GTR000593088.3","Mayo","YWHAG (7q11.23)","Epilepsy","Germline"
"317","GTR000593088.3","Mayo","ZDHHC9 (Xq26.1)","Epilepsy","Germline"
"318","GTR000593088.3","Mayo","ZEB2 (2q22.3)","Epilepsy","Germline"
"319","GTR000592401.2","MolGenLab","ACTB (7p22.1)","Epilepsy","Germline"
"320","GTR000592401.2","MolGenLab","ACTG1 (17q25.3)","Epilepsy","Germline"
"321","GTR000592401.2","MolGenLab","ADGRG1 (16q21)","Epilepsy","Germline"
"322","GTR000592401.2","MolGenLab","ADSL (22q13.1)","Epilepsy","Germline"
"323","GTR000592401.2","MolGenLab","AKT3 (1q43-44)","Epilepsy","Germline"
"324","GTR000592401.2","MolGenLab","ALDH7A1 (5q23.2)","Epilepsy","Germline"
"325","GTR000592401.2","MolGenLab","AMT (3p21.31)","Epilepsy","Germline"
"326","GTR000592401.2","MolGenLab","AP3B2 (15q25.2)","Epilepsy","Germline"
"327","GTR000592401.2","MolGenLab","ARFGEF2 (20q13.13)","Epilepsy","Germline"
"328","GTR000592401.2","MolGenLab","ARHGEF9 (Xq11.1)","Epilepsy","Germline"
