gene,Group_OMIM,Group_Oliver
GRIN2D,DEEG,DEE
FGF12,DEEG,DEE
AP3B2,DEEG,DEE
DENND5A,DEEG,DEE
SPTAN1,DEEG,DEE
CAD,DEEG,DEE
MDH2,DEEG,DEE
SYNJ1,DEEG,DEE
HNRNPU,DEEG,DEE
PIGP,DEEG,DEE
YWHAG,DEEG,DEE
KCNT2,DEEG,DEE
NTRK2,DEEG,DEE
GABBR2,DEEG,DEE
CNPY3,DEEG,DEE
ADAM22,DEEG,DEE
CPLX1,DEEG,DEE
RHOBTB2,DEEG,DEE
CYFIP2,DEEG,DEE
PACS2,DEEG,DEE
CUX2,DEEG,"GGE, DEE"
TRAK1,DEEG,DEE
CACNA1E,DEEG,DEE
PHACTR1,DEEG,DEE
GLS,DEEG,DEE
NEUROD2,DEEG,DEE
RNF13,DEEG,DEE
PARS2,DEEG,DEE
ACTL6B,DEEG,DEE
GABRA2,DEEG,DEE
GABRA5,DEEG,"GGE, DEE"
ARHGEF9,DEEG,"Focal, DEE"
PIGB,DEEG,DEE
DMXL2,DEEG,DEE
GOT2,DEEG,DEE
UGP2,DEEG,DEE
UGDH,DEEG,DEE
SMC1A,DEEG,DEE
CDK19,DEEG,DEE
GAD1,DEEG,DEE
PCDH19,DEEG,"Focal, DEE"
FGF13,DEEG,DEE
PPP3CA,DEEG,DEE
GABRB2,DEEG,"GGE, DEE"
ATP6V1A,DEEG,DEE
CHD2,DEEG,"GGE, DEE, PME"
PIGS,DEEG,DEE
NSF,DEEG,DEE
CELF2,DEEG,DEE
ATP1A2,DEEG,"DEE, MCD"
ATP1A3,DEEG,"DEE, MCD"
SLC35A3,SRG,DEE
CACNA2D2,SRG,"DEE, PME"
OXR1,SRG,DEE
CLN8,SRG,PME
ATN1,SRG,"DEE, PME"
DHDDS,SRG,"DEE, PME"
ARFGEF1,SRG,DEE
KCNK4,SRG,DEE
LIAS,SRG,DEE
CNNM2,SRG,DEE
ATP1A1,SRG,DEE
P4HTM,SRG,DEE
AP2M1,SRG,DEE
TANC2,SRG,DEE
PHF21A,SRG,DEE
OTUD6B,SRG,DEE
ALG14,SRG,DEE
PAK1,SRG,DEE
RORA,SRG,DEE
PDE2A,SRG,DEE
SETD1B,SRG,DEE
NUS1,SRG,"DEE, PME"
MED23,SRG,DEE
YIPF5,SRG,DEE
IER3IP1,SRG,DEE
MED17,SRG,DEE
QARS1,SRG,DEE
PNKP,SRG,DEE
RTTN,SRG,MCD
ADPRS,SRG,DEE
PTPN23,SRG,DEE
WASF1,SRG,DEE
PIGU,SRG,DEE
BRAT1,SRG,DEE
EMC10,SRG,DEE
PIGA,SRG,DEE
LNPK,SRG,DEE
NACC1,SRG,DEE
TRAPPC4,SRG,DEE
SPATA5,SRG,NA
PIGK,SRG,DEE
SNIP1,SRG,DEE
DEAF1,SRG,DEE
CACNA1C,SRG,DEE
ADARB1,SRG,DEE
HECW2,SRG,DEE
GRIK2,SRG,DEE
NCDN,SRG,DEE
TIAM1,SRG,DEE
TRAPPC6B,SRG,DEE
MTHFS,SRG,DEE
CPSF3,SRG,DEE
NARS1,SRG,DEE
CHKA,SRG,DEE
VARS1,SRG,DEE
DLL1,SRG,"DEE, MCD"
CUL3,SRG,DEE
NBEA,SRG,DEE
PIGG,SRG,DEE
GRIA4,SRG,DEE
IRF2BPL,SRG,"DEE, PME"
CLCN3,SRG,DEE
EXOC7,SRG,DEE
TBC1D2B,SRG,DEE
CACNA1B,SRG,"DEE, PME"
DHPS,SRG,DEE
GRM7,SRG,DEE
PPFIBP1,SRG,DEE
WDR45B,SRG,DEE
NSRP1,SRG,DEE
CACNA1I,SRG,DEE
WARS2,SRG,DEE
DHX16,SRG,DEE
PIGF,SRG,DEE
RTN4IP1,SRG,DEE
TUBGCP2,SRG,"DEE, MCD"
STRADA,SRG,"DEE, MCD"
CACNA1D,SRG,DEE
DIAPH1,SRG,DEE
NRROS,SRG,DEE
EXT2,SRG,DEE
PRMT7,SRG,DEE
HACE1,SRG,DEE
ASAH1,SRG,PME
